cdate	value
1-Mar-1958	314.62
1-Apr-1958	315.29
1-May-1958	314.71
1-Jun-1958	314.85
1-Jul-1958	314.98
1-Aug-1958	315.94
1-Sep-1958	315.91
1-Oct-1958	315.61
1-Nov-1958	315.31
1-Dec-1958	315.61
1-Jan-1959	315.7
1-Feb-1959	315.88
1-Mar-1959	315.62
1-Apr-1959	315.56
1-May-1959	315.5
1-Jun-1959	315.92
1-Jul-1959	315.66
1-Aug-1959	315.81
1-Sep-1959	316.55
1-Oct-1959	316.19
1-Nov-1959	316.78
1-Dec-1959	316.52
1-Jan-1960	316.51
1-Feb-1960	316.47
1-Mar-1960	316.49
1-Apr-1960	316.86
1-May-1960	317.24
1-Jun-1960	317.36
1-Jul-1960	317.3
1-Aug-1960	316.92
1-Sep-1960	316.87
1-Oct-1960	316.76
1-Nov-1960	316.98
1-Dec-1960	317.13
1-Jan-1961	317.03
1-Feb-1961	317.28
1-Mar-1961	317.47
1-Apr-1961	317.27
1-May-1961	317.7
1-Jun-1961	317.48
1-Jul-1961	317.7
1-Aug-1961	317.8
1-Sep-1961	317.49
1-Oct-1961	318.35
1-Nov-1961	318.13
1-Dec-1961	317.94
1-Jan-1962	318.06
1-Feb-1962	318.11
1-Mar-1962	318.57
1-Apr-1962	318.45
1-May-1962	318.2
1-Jun-1962	318.27
1-Jul-1962	318.67
1-Aug-1962	318.48
1-Sep-1962	319.03
1-Oct-1962	318.33
1-Nov-1962	318.62
1-Dec-1962	318.61
1-Jan-1963	318.91
1-Feb-1963	318.68
1-Mar-1963	318.69
1-Apr-1963	319.09
1-May-1963	319.39
1-Jun-1963	319.16
1-Jul-1963	318.77
1-Aug-1963	318.83
1-Sep-1963	319.06
1-Oct-1963	319
1-Nov-1963	319.1
1-Dec-1963	319.25
1-Jan-1964	319.67
1-Feb-1964	319.61
1-Mar-1964	319.55
1-Apr-1964	319.48
1-May-1964	319.42
1-Jun-1964	319.69
1-Jul-1964	319.58
1-Aug-1964	319.81
1-Sep-1964	319.56
1-Oct-1964	319.78
1-Nov-1964	319.72
1-Dec-1964	319.59
1-Jan-1965	319.48
1-Feb-1965	319.97
1-Mar-1965	319.65
1-Apr-1965	319.8
1-May-1965	319.36
1-Jun-1965	319.65
1-Jul-1965	320.51
1-Aug-1965	319.93
1-Sep-1965	320.68
1-Oct-1965	320.36
1-Nov-1965	320.87
1-Dec-1965	320.26
1-Jan-1966	320.63
1-Feb-1966	321.1
1-Mar-1966	321.16
1-Apr-1966	321.51
1-May-1966	321.18
1-Jun-1966	321.52
1-Jul-1966	321.49
1-Aug-1966	321.5
1-Sep-1966	321.54
1-Oct-1966	321.18
1-Nov-1966	321.84
1-Dec-1966	321.95
1-Jan-1967	322.07
1-Feb-1967	321.94
1-Mar-1967	321.72
1-Apr-1967	322.05
1-May-1967	322.27
1-Jun-1967	321.94
1-Jul-1967	321.66
1-Aug-1967	322.04
1-Sep-1967	322.19
1-Oct-1967	322.36
1-Nov-1967	322.78
1-Dec-1967	322.86
1-Jan-1968	322.55
1-Feb-1968	322.56
1-Mar-1968	322.59
1-Apr-1968	322.73
1-May-1968	322.87
1-Jun-1968	323.2
1-Jul-1968	323.25
1-Aug-1968	323.15
1-Sep-1968	323.31
1-Oct-1968	323.32
1-Nov-1968	323.32
1-Dec-1968	323.69
1-Jan-1969	323.98
1-Feb-1969	323.89
1-Mar-1969	324.41
1-Apr-1969	324.35
1-May-1969	324.57
1-Jun-1969	324.63
1-Jul-1969	325.08
1-Aug-1969	324.8
1-Sep-1969	325.28
1-Oct-1969	324.84
1-Nov-1969	324.78
1-Dec-1969	324.88
1-Jan-1970	325.04
1-Feb-1970	325.42
1-Mar-1970	325.69
1-Apr-1970	325.86
1-May-1970	325.27
1-Jun-1970	325.52
1-Jul-1970	325.51
1-Aug-1970	325.76
1-Sep-1970	325.93
1-Oct-1970	326.15
1-Nov-1970	325.96
1-Dec-1970	326.06
1-Jan-1971	326.25
1-Feb-1971	326.1
1-Mar-1971	325.94
1-Apr-1971	325.47
1-May-1971	326.11
1-Jun-1971	326.4
1-Jul-1971	326.45
1-Aug-1971	326.49
1-Sep-1971	326.19
1-Oct-1971	326.58
1-Nov-1971	326.82
1-Dec-1971	327.02
1-Jan-1972	326.85
1-Feb-1972	327.04
1-Mar-1972	326.53
1-Apr-1972	327.42
1-May-1972	327.23
1-Jun-1972	326.92
1-Jul-1972	327.2
1-Aug-1972	327.37
1-Sep-1972	327.76
1-Oct-1972	328.06
1-Nov-1972	328.5
1-Dec-1972	328.56
1-Jan-1973	328.58
1-Feb-1973	328.86
1-Mar-1973	328.99
1-Apr-1973	329.14
1-May-1973	329.62
1-Jun-1973	329.94
1-Jul-1973	330.05
1-Aug-1973	330.42
1-Sep-1973	330.45
1-Oct-1973	330.24
1-Nov-1973	330.16
1-Dec-1973	329.66
1-Jan-1974	329.45
1-Feb-1974	330.12
1-Mar-1974	330.2
1-Apr-1974	330.26
1-May-1974	330.28
1-Jun-1974	329.94
1-Jul-1974	330.23
1-Aug-1974	330.26
1-Sep-1974	330.28
1-Oct-1974	330.36
1-Nov-1974	330.28
1-Dec-1974	330.55
1-Jan-1975	330.89
1-Feb-1975	330.93
1-Mar-1975	330.54
1-Apr-1975	330.67
1-May-1975	330.98
1-Jun-1975	331.2
1-Jul-1975	331.12
1-Aug-1975	331.11
1-Sep-1975	331.48
1-Oct-1975	331.46
1-Nov-1975	331.41
1-Dec-1975	331.6
1-Jan-1976	331.79
1-Feb-1976	332.2
1-Mar-1976	332.04
1-Apr-1976	332.13
1-May-1976	331.84
1-Jun-1976	331.65
1-Jul-1976	332.14
1-Aug-1976	331.88
1-Sep-1976	331.94
1-Oct-1976	331.92
1-Nov-1976	332.29
1-Dec-1976	332.66
1-Jan-1977	332.76
1-Feb-1977	332.51
1-Mar-1977	333.35
1-Apr-1977	333.51
1-May-1977	333.98
1-Jun-1977	333.8
1-Jul-1977	334.02
1-Aug-1977	333.91
1-Sep-1977	334.36
1-Oct-1977	334.52
1-Nov-1977	334.64
1-Dec-1977	334.61
1-Jan-1978	335.01
1-Feb-1978	334.58
1-Mar-1978	335
1-Apr-1978	335.06
1-May-1978	335.06
1-Jun-1978	335.59
1-Jul-1978	335.57
1-Aug-1978	335.87
1-Sep-1978	335.51
1-Oct-1978	335.68
1-Nov-1978	335.99
1-Dec-1978	335.88
1-Jan-1979	336.22
1-Feb-1979	336.01
1-Mar-1979	336.54
1-Apr-1979	336.24
1-May-1979	336.21
1-Jun-1979	336.84
1-Jul-1979	336.72
1-Aug-1979	337.24
1-Sep-1979	337.2
1-Oct-1979	337.53
1-Nov-1979	337.57
1-Dec-1979	337.79
1-Jan-1980	338.09
1-Feb-1980	337.82
1-Mar-1980	338.43
1-Apr-1980	338.3
1-May-1980	338.43
1-Jun-1980	338.84
1-Jul-1980	338.54
1-Aug-1980	339.12
1-Sep-1980	339.33
1-Oct-1980	339.42
1-Nov-1980	339.42
1-Dec-1980	339.26
1-Jan-1981	339.38
1-Feb-1981	339.93
1-Mar-1981	340.06
1-Apr-1981	339.94
1-May-1981	339.98
1-Jun-1981	340.07
1-Jul-1981	339.92
1-Aug-1981	339.86
1-Sep-1981	340.17
1-Oct-1981	340.43
1-Nov-1981	340.74
1-Dec-1981	340.79
1-Jan-1982	341.1
1-Feb-1982	341.1
1-Mar-1982	341.21
1-Apr-1982	341.37
1-May-1982	341.56
1-Jun-1982	341.35
1-Jul-1982	341.55
1-Aug-1982	341.51
1-Sep-1982	341.47
1-Oct-1982	341.65
1-Nov-1982	341.73
1-Dec-1982	341.79
1-Jan-1983	341.84
1-Feb-1983	342.32
1-Mar-1983	341.82
1-Apr-1983	342.66
1-May-1983	342.87
1-Jun-1983	343.15
1-Jul-1983	343.44
1-Aug-1983	343.66
1-Sep-1983	343.49
1-Oct-1983	343.72
1-Nov-1983	343.71
1-Dec-1983	343.96
1-Jan-1984	344.2
1-Feb-1984	344.22
1-Mar-1984	344.09
1-Apr-1984	344.27
1-May-1984	344.45
1-Jun-1984	344.51
1-Jul-1984	344.76
1-Aug-1984	344.94
1-Sep-1984	344.58
1-Oct-1984	345.01
1-Nov-1984	345.2
1-Dec-1984	345.57
1-Jan-1985	345.31
1-Feb-1985	345.61
1-Mar-1985	346.37
1-Apr-1985	345.79
