date_num	date	a	b	close	d	e	f	g	h	i
1993,011475	4-Jan-1993	466466	337280.00	-40.28	97.64	-40.64	-40.27	97.64	-40.63	-41.15
1993,038696	14-Jan-1993	460890	334038.00	-44.20	100.97	-41.90	-44.19	100.96	-41.89	-41.74
1993,065918	24-Jan-1993	472125	342417.81	-44.17	97.73	-42.04	-44.15	97.72	-42.02	-41.32
1993,093018	2-Feb-1993	421381	306053.81	-46.32	101.99	-42.38	-46.30	101.97	-42.36	-41.23
1993,120239	12-Feb-1993	459550	331095.41	-40.91	99.63	-41.60	-40.87	99.62	-41.57	-40.12
1993,147339	22-Feb-1993	416487	300349.81	-39.32	98.01	-40.54	-39.28	98.00	-40.50	-38.81
1993,174561	4-Mar-1993	467982	337063.59	-38.86	96.18	-39.56	-38.82	96.17	-39.52	-37.63
1993,20166	14-Mar-1993	466077	335416.50	-37.62	96.20	-38.85	-37.57	96.18	-38.80	-36.72
1993,228882	24-Mar-1993	461213	331526.00	-37.80	96.14	-38.45	-37.74	96.11	-38.39	-36.11
1993,255981	3-Apr-1993	467274	340098.91	-45.73	107.39	-38.34	-45.66	107.37	-38.27	-35.76
1993,283203	13-Apr-1993	461744	331710.00	-39.55	94.35	-38.49	-39.48	94.32	-38.42	-35.62
1993,310303	23-Apr-1993	469833	338034.41	-36.22	93.55	-38.89	-36.13	93.51	-38.80	-35.68
1993,337524	3-May-1993	467661	337538.19	-38.38	93.32	-39.46	-38.29	93.28	-39.37	-35.92
1993,364746	13-May-1993	467936	336253.41	-41.33	93.72	-39.96	-41.23	93.68	-39.85	-36.09
1993,391846	23-May-1993	470043	337666.81	-42.35	93.96	-40.46	-42.24	93.92	-40.35	-36.34
1993,419067	1-Jun-1993	471722	339524.69	-42.08	93.66	-40.41	-41.96	93.62	-40.29	-36.15
1993,446167	11-Jun-1993	468852	338300.09	-39.13	93.89	-40.40	-39.00	93.85	-40.27	-36.15
1993,473389	21-Jun-1993	468773	339171.19	-39.16	92.85	-40.19	-39.03	92.81	-40.06	-36.14
1993,500488	1-Jul-1993	448244	326747.59	-39.82	91.41	-40.05	-39.69	91.37	-39.91	-36.42
1993,52771	11-Jul-1993	461234	336487.91	-41.09	93.27	-39.88	-40.94	93.23	-39.73	-36.88
1993,55481	21-Jul-1993	258734	192560.80	-37.32	99.00	-39.48	-37.17	98.97	-39.32	-37.31
1993,582031	31-Jul-1993	456886	334423.00	-39.97	95.83	-38.76	-39.81	95.80	-38.60	-37.59
1993,609131	10-Aug-1993	424745	310700.00	-39.50	96.82	-37.85	-39.34	96.79	-37.68	-37.80
1993,636353	20-Aug-1993	453729	333157.69	-35.68	95.90	-36.94	-35.50	95.88	-36.76	-38.05
1993,663574	30-Aug-1993	451302	331901.69	-34.51	95.04	-36.14	-34.33	95.02	-35.96	-38.39
1993,690674	9-Sep-1993	453813	333712.69	-36.13	92.84	-35.37	-35.94	92.81	-35.18	-38.66
1993,717896	19-Sep-1993	411294	303014.09	-37.06	93.70	-34.59	-36.86	93.68	-34.39	-38.76
1993,744995	28-Sep-1993	455695	334983.59	-33.18	92.68	-33.73	-32.97	92.66	-33.53	-38.56
1993,772217	8-Oct-1993	452877	332728.09	-29.57	92.93	-33.11	-29.36	92.92	-32.89	-38.33
1993,799316	18-Oct-1993	454650	332592.41	-31.83	91.09	-32.97	-31.61	91.08	-32.75	-38.31
1993,826538	28-Oct-1993	465492	345038.19	-35.90	100.18	-33.43	-35.67	100.15	-33.21	-38.63
1993,853638	7-Nov-1993	463414	337651.69	-34.04	91.19	-34.18	-33.81	91.17	-33.95	-38.97
1993,880859	17-Nov-1993	462117	335541.59	-35.48	91.81	-34.71	-35.24	91.77	-34.47	-38.89
1993,907959	27-Nov-1993	451860	327060.00	-37.29	91.71	-34.82	-37.04	91.66	-34.57	-38.24
1993,935181	7-Dec-1993	470802	340200.50	-35.80	90.78	-34.65	-35.54	90.73	-34.40	-37.23
1993,96228	17-Dec-1993	472633	339758.00	-30.41	90.90	-34.50	-30.15	90.85	-34.23	-36.20
1993,989502	27-Dec-1993	463199	333726.19	-33.56	91.44	-35.02	-33.28	91.38	-34.75	-35.89
1994,016724	6-Jan-1994	472732	340715.50	-37.04	91.08	-35.22	-36.76	91.00	-34.94	-35.32
1994,043823	15-Jan-1994	465775	336127.91	-35.12	89.20	-35.74	-34.84	89.12	-35.45	-35.18
1994,071045	25-Jan-1994	464596	335646.91	-33.14	88.74	-36.69	-32.84	88.64	-36.40	-35.61
1994,098145	4-Feb-1994	467066	335626.00	-38.84	89.91	-37.69	-38.54	89.80	-37.39	-36.19
1994,125366	14-Feb-1994	472856	340455.91	-42.11	90.92	-38.40	-41.80	90.80	-38.09	-36.59
1994,152466	24-Feb-1994	472073	340129.91	-41.12	92.52	-38.49	-40.80	92.40	-38.18	-36.45
1994,179688	6-Mar-1994	464135	333920.69	-37.06	92.56	-37.87	-36.74	92.43	-37.55	-35.62
1994,206787	16-Mar-1994	381477	277877.31	-41.48	98.68	-36.91	-41.16	98.55	-36.57	-34.46
1994,234009	26-Mar-1994	468379	337041.00	-32.31	89.47	-36.30	-31.97	89.34	-35.96	-33.64
1994,261108	5-Apr-1994	467859	336394.59	-35.95	90.05	-36.45	-35.60	89.92	-36.10	-33.53
1994,28833	15-Apr-1994	467848	336384.50	-36.50	90.51	-37.50	-36.14	90.36	-37.14	-34.28
