date	close
1880	-0.165
1881	-0.14
1882	-0.145
1883	-0.21
1884	-0.26
1885	-0.29
1886	-0.29
1887	-0.3
1888	-0.235
1889	-0.19
1890	-0.315
1891	-0.25
1892	-0.27
1893	-0.28
1894	-0.275
1895	-0.215
1896	-0.18
1897	-0.145
1898	-0.225
1899	-0.165
1900	-0.145
1901	-0.19
1902	-0.26
1903	-0.315
1904	-0.375
1905	-0.31
1906	-0.295
1907	-0.39
1908	-0.41
1909	-0.44
1910	-0.415
1911	-0.41
1912	-0.345
1913	-0.33
1914	-0.23
1915	-0.2
1916	-0.305
1917	-0.335
1918	-0.265
1919	-0.245
1920	-0.265
1921	-0.23
1922	-0.265
1923	-0.24
1924	-0.255
1925	-0.215
1926	-0.155
1927	-0.21
1928	-0.2
1929	-0.275
1930	-0.17
1931	-0.14
1932	-0.175
1933	-0.225
1934	-0.15
1935	-0.17
1936	-0.135
1937	-0.055
1938	-0.03
1939	-0.01
1940	0.065
1941	0.1
1942	0.1
1943	0.12
1944	0.17
1945	0.09
1946	-0.01
1947	-0.035
1948	-0.075
1949	-0.085
1950	-0.125
1951	-0.07
1952	-0.03
1953	0
1954	-0.1
1955	-0.105
1956	-0.125
1957	0
1958	0.03
1959	0.02
1960	0.005
1961	0.035
1962	0.01
1963	0.02
1964	-0.115
1965	-0.07
1966	-0.05
1967	-0.03
1968	-0.05
1969	0.03
1970	0.01
1971	-0.045
1972	0.005
1973	0.07
1974	-0.035
1975	0
1976	-0.035
1977	0.125
1978	0.095
1979	0.17
1980	0.235
1981	0.27
1982	0.17
1983	0.255
1984	0.18
1985	0.17
1986	0.22
1987	0.305
1988	0.365
1989	0.31
1990	0.39
1991	0.385
1992	0.285
1993	0.29
1994	0.335
1995	0.42
1996	0.38
1997	0.46
1998	0.55
1999	0.455
2000	0.47
2001	0.545
2002	0.595
2003	0.605
2004	0.58
2005	0.655
2006	0.625
2007	0.645
2008	0.585
2009	0.635
2010	0.67
2011	0.625
2012	0.655
2013	0.695
2014	0.765
2015	0.86
2016	0.95
