museo	nazione	licenza	tipo	anno	nopere
SAN - Sistema Archivistico Nazionale	italy	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	674642
Nationaal Archief	netherlands	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	11
Nationaal Archief	netherlands	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2015	2
Nationaal Archief	netherlands	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	502357
Nationaal Archief	netherlands	http://www.europeana.eu/rights/rr-f/	TEXT	2015	53010
Nationaal Archief	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2014	4
National Library of Finland	finland	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	24181
National Library of Finland	finland	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2015	515416
National Library of Finland	finland	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	26
National Library of Finland	finland	http://www.europeana.eu/rights/rr-f/	TEXT	2013	2746
National Library of Finland	finland	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	1619
National Library of Finland	finland	http://creativecommons.org/publicdomain/mark/1.0/	SOUND	2013	491
National Library of Finland	finland	http://creativecommons.org/publicdomain/mark/1.0/	SOUND	2014	3
Kulturarvsstyrelsen	denmark	http://creativecommons.org/licenses/by/4.0/	IMAGE	2015	249010
Kulturarvsstyrelsen	denmark	http://creativecommons.org/licenses/by/4.0/	IMAGE	2016	270222
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/rr-f/	SOUND	2015	210
Österreichische Nationalbibliothek - Austrian National Library	austria	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	205586
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	24081
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	75714
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/out-of-copyright-non-commercial/	TEXT	2014	220953
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/unknown/	IMAGE	2014	5960
Österreichische Nationalbibliothek - Austrian National Library	austria	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	24552
Österreichische Nationalbibliothek - Austrian National Library	austria	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	186511
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/unknown/	TEXT	2014	593603
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/rr-f/	TEXT	2014	220
Österreichische Nationalbibliothek - Austrian National Library	austria	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2016	1928
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1
Österreichische Nationalbibliothek - Austrian National Library	austria	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	1149
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/out-of-copyright-non-commercial/	TEXT	2016	37085
Österreichische Nationalbibliothek - Austrian National Library	austria	http://www.europeana.eu/rights/out-of-copyright-non-commercial/	TEXT	2015	37766
Biblioteca Virtual de Prensa Histórica	spain	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	1038484
Biblioteca Virtual de Prensa Histórica	spain	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2014	6236
Biblioteca Virtual de Prensa Histórica	spain	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2016	36542
Biblioteca Virtual de Prensa Histórica	spain	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	63840
Biblioteca Virtual de Prensa Histórica	spain	http://creativecommons.org/licenses/by-nc-nd/3.0/	TEXT	2016	7
Deutsche Fotothek	germany	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	925968
Riksantikvarieämbetet | Swedish National Heritage Board	sweden	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	812971
Europeana 1914-1918	europe	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1
Europeana 1914-1918	europe	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2014	9791
Europeana 1914-1918	europe	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2015	1304
Europeana 1914-1918	europe	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2016	1268
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2014	141322
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2015	14748
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2016	16881
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	TEXT	2014	7283
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	TEXT	2016	966
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	TEXT	2015	1169
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2014	12
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	VIDEO	2016	33
Europeana 1914-1918	europe	https://creativecommons.org/licenses/by-sa/2.0/	IMAGE	2014	8
Europeana 1914-1918	europe	http://creativecommons.org/licenses/by-sa/3.0/	SOUND	2014	44
